epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6357,0.94526,18.2056,1.17641,0.00333,0.28333,0.00386,0.00304,0.35948,12.1419,0.69721,0.0003,0.0003,0.0003
2,109.571,0.54946,38.2001,0.78734,0.00314,0.26667,0.01418,0.00375,0.48049,12.5623,0.7709,0.00060977,0.00060977,0.00060977
3,161.113,0.46333,42.1936,0.70156,0.00412,0.35,0.01287,0.00404,0.62841,13.8753,0.81717,0.00090898,0.00090898,0.00090898
4,212.818,0.4623,20.4709,0.84085,0.0049,0.41667,0.04608,0.02418,0.56797,14.6653,0.82253,0.00119763,0.00119763,0.00119763
5,264.973,0.53926,18.7143,0.87408,0.00549,0.46667,0.01923,0.00965,0.70195,14.3354,0.95776,0.00147572,0.00147572,0.00147572
6,318.117,0.63505,17.4557,0.8698,0.00686,0.58333,0.0072,0.00472,0.66285,159.317,0.90889,0.00174325,0.00174325,0.00174325
7,370.045,0.57917,28.0218,0.7641,0.15105,0.21667,0.08285,0.04856,0.81817,11.2647,1.0345,0.001802,0.001802,0.001802
8,424.059,0.4312,38.2048,0.66727,0.40248,0.3,0.22504,0.14728,0.76235,10.0337,1.0274,0.001769,0.001769,0.001769
9,476.107,0.57041,27.3269,0.78949,0.22823,0.33333,0.12412,0.07887,0.71956,12.2435,0.91698,0.001736,0.001736,0.001736
10,526.351,0.61289,20.6412,0.82293,0.01705,0.3,0.01185,0.00595,0.68659,112.385,0.8363,0.001703,0.001703,0.001703
11,578.546,0.76896,9.8762,0.97763,0.10383,0.21667,0.04653,0.02549,0.71943,50.6659,0.8287,0.00167,0.00167,0.00167
12,630.433,0.9588,15.4164,1.05345,0.02911,0.16667,0.01697,0.00906,0.89971,19.862,0.86867,0.001637,0.001637,0.001637
