epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.79263,0.85474,18.5145,0.89741,0.00137,0.11667,0.00159,0.00097,0.48317,11.433,0.62954,0.00062,0.00062,0.00062
2,8.38232,0.46613,20.5251,0.54414,0.00314,0.26667,0.01172,0.00552,0.58492,12.0817,0.66317,0.00123921,0.00123921,0.00123921
3,12.2135,0.44885,20.9132,0.52098,0.00373,0.31667,0.01887,0.00473,0.59559,11.7263,0.69071,0.0018373,0.0018373,0.0018373
4,16.0732,0.49353,20.0247,0.5749,0.00216,0.18333,0.00201,0.00066,1.40736,13.3828,1.15943,0.001901,0.001901,0.001901
5,19.5468,0.67489,16.084,0.70917,0.00353,0.3,0.0036,0.00201,1.09974,212.713,0.95629,0.001868,0.001868,0.001868
6,23.217,0.59695,15.9229,0.69725,0.00137,0.11667,0.00104,0.00041,0.83082,15.2323,0.80337,0.001835,0.001835,0.001835
7,27.0831,0.53659,16.9782,0.58858,0.00216,0.18333,0.00884,0.00307,0.66128,8.20815,0.71474,0.001802,0.001802,0.001802
8,31.1264,0.48219,17.7822,0.53236,0.00255,0.21667,0.00206,0.001,0.79147,7.27275,1.04199,0.001769,0.001769,0.001769
9,35.1104,0.57285,14.5822,0.66024,0.00196,0.16667,0.00316,0.00087,0.99287,6.87744,1.31634,0.001736,0.001736,0.001736
10,38.8934,0.57941,12.5413,0.72347,0.00196,0.16667,0.00279,0.001,0.67261,9.63246,0.7865,0.001703,0.001703,0.001703
11,42.6493,0.44657,14.1145,0.53748,0.00176,0.15,0.00522,0.00109,0.69741,6.337,0.91802,0.00167,0.00167,0.00167
12,46.1145,0.69309,10.8025,0.86773,0.00176,0.15,0.00288,0.00091,0.74503,6.30074,0.97722,0.001637,0.001637,0.001637
13,49.6179,0.68556,10.5132,0.82343,0.00255,0.21667,0.00592,0.0019,0.61923,6.77069,0.8598,0.001604,0.001604,0.001604
14,53.4676,0.53828,12.8315,0.62787,0.00392,0.33333,0.01925,0.00727,0.80078,7.0172,1.10125,0.001571,0.001571,0.001571
15,57.2117,0.37152,13.1751,0.47213,0.00314,0.26667,0.00652,0.00307,0.87604,6.77445,1.20981,0.001538,0.001538,0.001538
16,61.0457,0.41211,12.9636,0.50259,0.00255,0.21667,0.00399,0.00203,0.87134,7.42565,1.04758,0.001505,0.001505,0.001505
17,65.3069,0.46247,11.3505,0.59483,0.00176,0.15,0.00302,0.0017,0.79797,7.0646,0.96787,0.001472,0.001472,0.001472
18,68.8355,0.39512,11.1983,0.55625,0.00157,0.13333,0.00301,0.00112,0.98051,6.79509,1.04878,0.001439,0.001439,0.001439
