epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5136,0.70598,3.08394,1.12975,0.6554,0.77365,0.71674,0.60478,0.54593,16.0972,0.82049,0.000662602,0.000662602,0.000662602
2,34.8288,0.62353,2.66008,1.05952,0.12932,0.8537,0.12664,0.10443,0.55732,466.141,0.9085,0.00126347,0.00126347,0.00126347
3,51.6084,0.64648,1.93756,1.05788,0.66348,0.81356,0.77118,0.67272,0.44931,7.38025,0.78644,0.00179834,0.00179834,0.00179834
4,68.3522,0.63704,2.74022,1.02847,0.60617,0.80642,0.63943,0.54769,0.47771,5.66477,0.79824,0.001703,0.001703,0.001703
5,85.0906,0.56675,1.77826,1.00602,0.675,0.77074,0.74209,0.62689,0.4921,8.51061,0.80064,0.001604,0.001604,0.001604
6,101.763,0.58296,1.63641,0.99849,0.63483,0.82426,0.78579,0.67369,0.45506,4.21606,0.76929,0.001505,0.001505,0.001505
7,118.527,0.6084,2.03887,0.99172,0.5609,0.80791,0.59838,0.50335,0.51084,2.98739,0.81157,0.001406,0.001406,0.001406
8,135.326,0.54768,1.37716,0.98712,0.70417,0.90277,0.8363,0.72246,0.44728,3.91649,0.74535,0.001307,0.001307,0.001307
9,152.074,0.52212,1.26012,0.99021,0.70974,0.84657,0.83786,0.74997,0.3633,3.41828,0.71907,0.001208,0.001208,0.001208
10,168.817,0.47775,1.11892,0.95749,0.73559,0.80107,0.81617,0.72752,0.40403,1.53636,0.74855,0.001109,0.001109,0.001109
11,185.773,0.46839,2.15917,0.93749,0.78668,0.8537,0.84447,0.75361,0.39474,1.5337,0.73095,0.00101,0.00101,0.00101
12,202.63,0.43525,1.70248,0.90297,0.78574,0.82159,0.86175,0.76555,0.39556,1.38657,0.73522,0.000911,0.000911,0.000911
13,219.282,0.45041,1.52591,0.92021,0.74638,0.84032,0.84977,0.75456,0.38574,1.58605,0.71755,0.000812,0.000812,0.000812
14,235.911,0.42915,1.26673,0.92141,0.79397,0.87333,0.89319,0.80967,0.34941,1.92769,0.70213,0.000713,0.000713,0.000713
15,252.579,0.39308,1.38032,0.87615,0.80008,0.84968,0.88209,0.78974,0.3853,1.28838,0.71787,0.000614,0.000614,0.000614
16,269.14,0.37698,1.08649,0.86942,0.84667,0.83943,0.90003,0.81053,0.36075,1.33992,0.70251,0.000515,0.000515,0.000515
17,285.675,0.34278,0.95064,0.83937,0.79313,0.89267,0.91862,0.83493,0.34279,2.02399,0.68977,0.000416,0.000416,0.000416
18,302.381,0.33259,0.96748,0.83569,0.84167,0.88679,0.93252,0.84474,0.34729,1.25814,0.69634,0.000317,0.000317,0.000317
19,319.133,0.3102,0.86723,0.83156,0.83033,0.87748,0.93273,0.85586,0.32911,1.75035,0.6939,0.000218,0.000218,0.000218
20,335.806,0.2921,0.78434,0.82705,0.83368,0.87957,0.93819,0.86179,0.32768,1.2145,0.69294,0.000119,0.000119,0.000119
