epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3815,0.6281,3.45583,1.04606,0.50008,0.46154,0.51637,0.30145,0.92735,10.7066,1.80409,0.000664269,0.000664269,0.000664269
2,50.4517,0.6388,2.02132,1.01276,0.45234,0.38462,0.38345,0.24756,1.29518,4.4354,1.75066,0.00127603,0.00127603,0.00127603
3,74.549,0.62007,1.62564,1.00166,0.26477,0.46154,0.23527,0.1516,1.01063,5.76102,1.54989,0.0018328,0.0018328,0.0018328
4,98.9592,0.62596,1.50784,0.9991,0.18578,0.28205,0.13069,0.08152,1.17504,5.4566,1.66021,0.0017525,0.0017525,0.0017525
5,123.669,0.57696,1.47457,0.97841,0.5612,0.42651,0.48033,0.3412,0.86333,2.37283,1.40145,0.00167,0.00167,0.00167
6,148.482,0.53895,1.32233,0.95314,0.7006,0.46154,0.51293,0.40176,0.68709,3.65114,1.32449,0.0015875,0.0015875,0.0015875
7,173.503,0.53305,1.26155,0.9407,0.70464,0.4359,0.53434,0.4043,0.76154,1.52112,1.3695,0.001505,0.001505,0.001505
8,198.413,0.49824,1.00393,0.93732,0.17007,0.59905,0.21537,0.16547,0.68707,2.55775,1.20539,0.0014225,0.0014225,0.0014225
9,223.311,0.49183,1.22816,0.919,0.25787,0.4359,0.21414,0.162,0.86748,1.60676,1.48039,0.00134,0.00134,0.00134
10,248.342,0.47589,0.9323,0.93208,0.82436,0.46154,0.56751,0.4724,0.66204,1.29057,1.25038,0.0012575,0.0012575,0.0012575
11,273.467,0.4484,0.97121,0.90684,0.48471,0.53846,0.47914,0.37433,0.71075,1.43191,1.26705,0.001175,0.001175,0.001175
12,298.689,0.46846,1.29787,0.91343,0.45006,0.65061,0.49394,0.37356,0.59914,1.70921,1.12934,0.0010925,0.0010925,0.0010925
13,323.918,0.42755,0.92603,0.90326,0.50659,0.51282,0.47353,0.3037,0.73341,1.89096,1.18155,0.00101,0.00101,0.00101
14,349.213,0.43902,0.90537,0.89175,0.53241,0.52568,0.45486,0.36092,0.53201,1.39533,1.03328,0.0009275,0.0009275,0.0009275
15,374.371,0.37065,0.91599,0.82936,0.70216,0.66667,0.66359,0.54821,0.43779,1.36563,1.01039,0.000845,0.000845,0.000845
16,399.035,0.40669,1.11614,0.83042,0.67509,0.51282,0.59235,0.451,0.63202,1.79278,1.17938,0.0007625,0.0007625,0.0007625
17,424.159,0.34611,0.86514,0.80964,0.60283,0.5641,0.5749,0.47949,0.52434,1.34799,1.10671,0.00068,0.00068,0.00068
18,449.068,0.33379,0.72151,0.79977,0.58722,0.48718,0.53148,0.43842,0.513,1.66229,1.02643,0.0005975,0.0005975,0.0005975
19,474.12,0.31794,0.71056,0.78935,0.57522,0.53846,0.59501,0.50492,0.43642,1.70294,0.93051,0.000515,0.000515,0.000515
20,499.217,0.32424,0.60321,0.80054,0.87945,0.56126,0.69868,0.62716,0.36316,0.90425,0.92555,0.0004325,0.0004325,0.0004325
21,524.292,0.32028,0.58595,0.80938,0.58924,0.4359,0.51473,0.42119,0.48584,1.30455,1.01057,0.00035,0.00035,0.00035
22,549.377,0.31458,0.56602,0.78349,0.64465,0.53846,0.56279,0.48243,0.38393,1.26285,0.90082,0.0002675,0.0002675,0.0002675
23,574.357,0.3037,0.56344,0.79259,0.85828,0.31074,0.51067,0.46021,0.39761,1.18083,0.91483,0.000185,0.000185,0.000185
24,599.457,0.28151,0.5677,0.7743,0.81509,0.38462,0.52956,0.47534,0.39661,1.11797,0.90753,0.0001025,0.0001025,0.0001025
