epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8483,0.64261,5.51642,1.02395,0.07225,0.42308,0.0444,0.01678,0.95,31.28,1.20218,0.000664794,0.000664794,0.000664794
2,63.2467,0.69365,3.66174,1.03077,0.16326,0.11538,0.07547,0.03176,0.63556,7.59177,0.97141,0.00128438,0.00128438,0.00128438
3,93.8553,0.73147,3.08813,1.03466,0.09414,0.19231,0.04858,0.01599,0.76442,4.57253,1.05474,0.00185683,0.00185683,0.00185683
4,124.731,0.75115,2.33699,1.04622,0.02229,0.03846,0.00832,0.00253,1.1423,9.69935,1.20759,0.00178786,0.00178786,0.00178786
5,155.785,0.6754,1.87845,1.01633,0.52698,0.30769,0.41549,0.16093,0.75484,1.52954,1.12358,0.00171714,0.00171714,0.00171714
6,186.989,0.62411,1.71344,0.97935,0.34249,0.42308,0.26621,0.13551,0.5926,3.22145,0.83708,0.00164643,0.00164643,0.00164643
7,218.449,0.59466,1.53091,0.9724,0.20262,0.34615,0.19453,0.11131,0.5986,1.38936,0.71338,0.00157571,0.00157571,0.00157571
8,249.937,0.62521,1.42599,0.97842,0.34156,0.42308,0.30999,0.20705,0.56677,1.31539,0.73582,0.001505,0.001505,0.001505
9,281.322,0.55771,1.4216,0.92428,0.38915,0.76923,0.42116,0.27943,0.4655,1.30082,0.68191,0.00143429,0.00143429,0.00143429
10,312.55,0.53849,1.48442,0.92648,0.45112,0.57692,0.45721,0.28122,0.51228,0.76621,0.69199,0.00136357,0.00136357,0.00136357
11,343.963,0.50188,1.15578,0.88768,0.49324,0.34615,0.39302,0.29902,0.42992,0.92624,0.61921,0.00129286,0.00129286,0.00129286
12,375.687,0.50566,1.07714,0.91683,0.58345,0.57692,0.64689,0.49671,0.3961,0.94948,0.59817,0.00122214,0.00122214,0.00122214
13,407.366,0.49316,1.20218,0.90365,0.35506,0.73077,0.50985,0.39919,0.40023,0.95718,0.55869,0.00115143,0.00115143,0.00115143
14,438.941,0.45639,1.15123,0.87647,0.45083,0.96154,0.54855,0.35646,0.5002,1.01577,0.69604,0.00108071,0.00108071,0.00108071
15,470.572,0.46901,1.19924,0.90514,0.53856,0.96154,0.76581,0.57904,0.38495,0.61129,0.57841,0.00101,0.00101,0.00101
16,502.346,0.4334,0.95228,0.8843,0.5542,0.43061,0.54456,0.4034,0.42339,1.30304,0.61976,0.000939286,0.000939286,0.000939286
17,534.2,0.43429,0.93019,0.88342,0.55036,0.80047,0.72374,0.53551,0.34802,0.67516,0.55612,0.000868571,0.000868571,0.000868571
18,566.034,0.4269,0.96178,0.88385,0.43805,0.57692,0.51362,0.40957,0.37135,0.7245,0.62528,0.000797857,0.000797857,0.000797857
19,597.765,0.42893,0.92989,0.89248,0.5966,0.84615,0.76178,0.58496,0.33654,0.62444,0.5851,0.000727143,0.000727143,0.000727143
20,629.73,0.39861,0.89978,0.87518,0.56188,0.69231,0.68455,0.56315,0.33279,0.60183,0.52313,0.000656429,0.000656429,0.000656429
21,660.45,0.32261,0.8044,0.68096,0.88814,0.73077,0.81617,0.63575,0.30811,0.48168,0.58597,0.000585714,0.000585714,0.000585714
22,691.228,0.32692,0.72502,0.724,0.80109,0.84615,0.89059,0.70452,0.3013,0.40922,0.55287,0.000515,0.000515,0.000515
23,721.823,0.29037,0.69156,0.67765,0.79886,0.91675,0.90368,0.7564,0.27842,0.47408,0.55524,0.000444286,0.000444286,0.000444286
24,752.571,0.30514,0.63351,0.68447,0.85288,0.89209,0.92242,0.79088,0.27618,0.41632,0.61279,0.000373571,0.000373571,0.000373571
25,783.058,0.28422,0.56315,0.66347,0.93918,0.84615,0.95693,0.80932,0.281,0.28089,0.54507,0.000302857,0.000302857,0.000302857
26,813.671,0.27878,0.51008,0.66736,0.97665,0.92308,0.97167,0.80838,0.28176,0.35861,0.57461,0.000232143,0.000232143,0.000232143
27,844.334,0.27969,0.50022,0.68227,0.91127,0.79044,0.92675,0.81242,0.25437,0.32076,0.53434,0.000161429,0.000161429,0.000161429
28,875.084,0.27533,0.47439,0.68757,0.85109,0.87944,0.94633,0.83073,0.24217,0.32298,0.51442,9.07143e-05,9.07143e-05,9.07143e-05
