epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0522,0.63746,64.9089,0.6411,0.00314,0.55172,0.01028,0.00358,0.34615,63.3128,0.49479,0.0003,0.0003,0.0003
2,114.228,0.62792,30.2977,0.85998,0.00549,0.96552,0.06806,0.03145,0.21659,61.8381,0.31952,0.00059954,0.00059954,0.00059954
3,166.896,0.71223,24.7796,0.89324,0.00569,1,0.17036,0.12521,0.14634,59.5755,0.26598,0.00087796,0.00087796,0.00087796
4,217.51,0.83635,51.5046,0.78913,0.00569,1,0.05466,0.02468,0.46052,56.5727,0.49992,0.00113526,0.00113526,0.00113526
5,268.627,0.61074,34.264,0.83012,0.00569,1,0.04109,0.01994,0.32313,53.4252,0.38541,0.00137144,0.00137144,0.00137144
6,321.085,0.94423,22.571,1.12143,0.00569,1,0.06262,0.03484,0.24352,50.5107,0.32181,0.0015865,0.0015865,0.0015865
7,373.232,1.04921,27.5202,1.14616,0.00569,1,0.04991,0.02368,0.28222,47.9389,0.34303,0.001604,0.001604,0.001604
8,424.688,0.81983,26.6653,0.92054,0.00569,1,0.07886,0.04355,0.27004,44.7052,0.34706,0.001538,0.001538,0.001538
9,476.19,0.62448,34.7585,0.75474,0.00569,1,0.16389,0.1233,0.25298,43.7042,0.33875,0.001472,0.001472,0.001472
10,529.019,0.88953,14.875,1.04863,0.00569,1,0.11145,0.07437,0.23998,41.3045,0.32407,0.001406,0.001406,0.001406
11,581.306,0.95735,18.5869,1.18067,0.00569,1,0.05352,0.03347,0.25333,39.1981,0.33205,0.00134,0.00134,0.00134
12,633.186,0.80103,16.2956,1.03526,0.00549,0.96552,0.01769,0.00894,0.40708,37.6293,0.45972,0.001274,0.001274,0.001274
13,684.6,0.81983,23.4506,0.92914,0.0051,0.89655,0.01415,0.00451,0.49655,36.976,0.54926,0.001208,0.001208,0.001208
14,735.37,0.68846,23.9564,0.9044,0.00549,0.96552,0.03025,0.02038,0.28984,36.712,0.38221,0.001142,0.001142,0.001142
15,787.29,0.76429,12.087,0.96296,0.00569,1,0.13053,0.0881,0.24535,36.6797,0.32593,0.001076,0.001076,0.001076
16,838.603,0.62828,25.8541,0.80987,0.00569,1,0.3104,0.23244,0.25207,35.9096,0.32254,0.00101,0.00101,0.00101
17,890.401,0.66109,20.2816,0.84112,0.00569,1,0.44068,0.33935,0.23548,34.5226,0.31725,0.000944,0.000944,0.000944
18,940.729,0.63744,28.5537,0.77316,0.00569,1,0.54373,0.42292,0.21881,32.9378,0.30719,0.000878,0.000878,0.000878
19,991.892,0.51043,26.5637,0.69566,0.00569,1,0.61579,0.51526,0.20435,31.7968,0.30386,0.000812,0.000812,0.000812
20,1042.95,0.47791,20.6591,0.73841,0.00569,1,0.66629,0.55073,0.20121,31.2736,0.30328,0.000746,0.000746,0.000746
21,1092.83,0.44698,29.7497,0.63606,0.00569,1,0.66318,0.55351,0.21188,31.0398,0.30544,0.00068,0.00068,0.00068
22,1141.55,0.33974,35.1998,0.51121,0.00569,1,0.66062,0.56228,0.22506,30.7555,0.30852,0.000614,0.000614,0.000614
23,1191.31,0.31645,34.7282,0.44357,0.00569,1,0.64429,0.54897,0.23475,30.4013,0.31944,0.000548,0.000548,0.000548
24,1240.52,0.45184,34.792,0.60058,0.00569,1,0.66327,0.55125,0.23812,29.8306,0.32129,0.000482,0.000482,0.000482
25,1289.69,0.38463,30.6157,0.59673,0.00569,1,0.65004,0.53277,0.23756,29.3184,0.32008,0.000416,0.000416,0.000416
26,1338.99,0.33822,33.7068,0.45156,0.00569,1,0.65065,0.53449,0.23419,28.7438,0.31879,0.00035,0.00035,0.00035
27,1388.42,0.35181,30.2487,0.5085,0.00569,1,0.61997,0.51306,0.23173,28.3904,0.31067,0.000284,0.000284,0.000284
28,1437.43,0.2386,35.5911,0.34824,0.00569,1,0.61616,0.52286,0.22767,28.2787,0.3094,0.000218,0.000218,0.000218
29,1486.34,0.29448,32.679,0.44344,0.00569,1,0.60839,0.51372,0.21989,28.3302,0.30445,0.000152,0.000152,0.000152
30,1536.67,0.32595,29.9704,0.47098,0.00569,1,0.63877,0.53921,0.21809,28.4742,0.30286,8.6e-05,8.6e-05,8.6e-05
