epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5613,0.88476,60.0015,0.95535,0.00529,1,0.02715,0.01999,0.18393,64.5714,0.30179,0.0003,0.0003,0.0003
2,110.768,0.69014,25.3381,0.92255,0.00529,1,0.27329,0.18234,0.20365,63.9269,0.28727,0.00058931,0.00058931,0.00058931
3,160.549,0.68806,37.4094,0.83293,0.00529,1,0.15024,0.08062,0.31836,62.787,0.35719,0.00084694,0.00084694,0.00084694
4,207.331,0.55594,52.0582,0.69656,0.0049,0.92593,0.27994,0.08491,0.37899,66.1946,0.45322,0.00107289,0.00107289,0.00107289
5,266.205,0.88407,26.1853,1.01668,0.0051,0.96296,0.02264,0.01207,0.30716,76.6224,0.40272,0.00126716,0.00126716,0.00126716
6,314.947,0.81007,23.074,0.92628,0.00529,1,0.02206,0.01413,0.28772,581.561,0.36234,0.00142975,0.00142975,0.00142975
7,364.257,0.88525,18.4869,1.0294,0.00529,1,0.02857,0.02148,0.26858,84.45,0.32653,0.001406,0.001406,0.001406
8,416.894,0.75422,19.5753,0.9923,0.00529,1,0.16963,0.10249,0.32625,46.2128,0.3824,0.001307,0.001307,0.001307
9,472.229,0.60922,37.6407,0.70405,0.00529,1,0.3781,0.20918,0.30542,43.078,0.38152,0.001208,0.001208,0.001208
10,527.471,0.5982,25.907,0.76229,0.00529,1,0.42978,0.27624,0.25059,42.0755,0.32997,0.001109,0.001109,0.001109
11,587.619,0.41231,45.7131,0.59403,0.00529,1,0.04094,0.02982,0.21447,42.1381,0.30469,0.00101,0.00101,0.00101
12,645.841,0.35788,44.456,0.52316,0.00529,1,0.02379,0.01782,0.20368,39.4769,0.29908,0.000911,0.000911,0.000911
13,753.169,0.33654,47.4131,0.44653,0.00529,1,0.01858,0.01441,0.21649,37.7802,0.30556,0.000812,0.000812,0.000812
14,809.865,0.52415,38.9646,0.69328,0.00529,1,0.01534,0.01158,0.22353,36.3784,0.31205,0.000713,0.000713,0.000713
15,901.395,0.39528,45.3215,0.53959,0.00529,1,0.02276,0.01684,0.22895,34.2642,0.31911,0.000614,0.000614,0.000614
16,960.514,0.30362,45.1478,0.52731,0.00529,1,0.02039,0.01419,0.23882,33.0521,0.31874,0.000515,0.000515,0.000515
17,1013.32,0.51375,40.2775,0.6597,0.00529,1,0.03336,0.02119,0.22946,32.8734,0.30869,0.000416,0.000416,0.000416
18,1064.15,0.35487,39.5738,0.50515,0.00529,1,0.10856,0.07719,0.21251,33.1396,0.29478,0.000317,0.000317,0.000317
19,1114.01,0.29545,42.005,0.44664,0.00529,1,0.32759,0.26387,0.1984,34.329,0.29077,0.000218,0.000218,0.000218
20,1170.89,0.30585,46.0422,0.42594,0.00529,1,0.44802,0.36114,0.1882,35.0848,0.28606,0.000119,0.000119,0.000119
